,,2300,-4.68,-4.67,-2.83,-2.4,-3.6,-5.78,-8.83,-12.99,-10.91,-7.96,-7.03,-5.41,-4.68,,,,,,,,,,,,,,,,,
,,2310,-4.39,-4.55,-2.71,-2.26,-3.46,-5.75,-9,-13.11,-10.34,-7.49,-6.45,-5.07,-4.39,,,,,,,,,,,,,,,,,
,,2320,-4.49,-4.85,-3.12,-2.51,-3.64,-5.91,-9.21,-12.91,-9.96,-7.1,-6.1,-4.73,-4.49,,,,,,,,,,,,,,,,,
,,2330,-4.61,-5.11,-3.42,-2.85,-3.88,-6.01,-9.16,-12.4,-9.32,-6.77,-5.92,-4.69,-4.61,,,,,,,,,,,,,,,,,
,,2340,-4.73,-5.52,-3.91,-3.27,-4.32,-6.1,-8.88,-12,-9.06,-6.49,-5.74,-4.51,-4.73,,,,,,,,,,,,,,,,,
,,2350,-4.85,-5.77,-4.43,-3.92,-4.78,-6.34,-8.68,-11.74,-9.04,-6.49,-5.73,-4.51,-4.85,,,,,,,,,,,,,,,,,
,,2360,-4.63,-5.68,-4.79,-4.4,-5.06,-6.27,-8.43,-11.45,-9.28,-6.67,-5.68,-4.36,-4.63,,,,,,,,,,,,,,,,,
,,2370,-4.57,-5.66,-5.15,-4.97,-5.59,-6.47,-8.11,-11.55,-9.62,-7.06,-5.74,-4.36,-4.57,,,,,,,,,,,,,,,,,
,,2380,-4.41,-5.64,-5.44,-5.54,-6.05,-6.67,-7.89,-11.39,-10.13,-7.53,-5.71,-4.25,-4.41,,,,,,,,,,,,,,,,,
,,2390,-4.17,-5.55,-5.61,-6.19,-6.52,-6.96,-7.88,-11.29,-10.89,-8.05,-5.89,-4.11,-4.17,,,,,,,,,,,,,,,,,
,,2400,-4.03,-5.61,-6.17,-6.83,-7.42,-7.3,-8.03,-11.48,-12.31,-8.83,-6.17,-4.09,-4.03,,,,,,,,,,,,,,,,,
,,2410,-3.96,-5.6,-6.57,-7.75,-8.14,-7.85,-8.24,-11.73,-13.31,-9.38,-6.34,-4.05,-3.96,,,,,,,,,,,,,,,,,
,,2420,-3.84,-5.76,-6.91,-8.35,-8.88,-8.23,-8.5,-11.98,-14.83,-10.23,-6.54,-4.1,-3.84,,,,,,,,,,,,,,,,,
,,2430,-3.92,-6.14,-7.07,-8.99,-9.66,-8.89,-8.93,-12.31,-16.81,-11.09,-6.8,-4.27,-3.92,,,,,,,,,,,,,,,,,
,,2440,-3.98,-6.22,-7.04,-9.09,-9.89,-9.47,-9.48,-12.63,-18.56,-11.74,-7.1,-4.41,-3.98,,,,,,,,,,,,,,,,,
,,2450,-4.32,-6.34,-6.62,-8.83,-10.07,-10.16,-10.12,-13.3,-20.48,-12.49,-7.45,-4.68,-4.32,,,,,,,,,,,,,,,,,
,,2460,-4.63,-6.43,-6.27,-8.2,-10.1,-10.8,-10.9,-13.6,-23.04,-13.44,-8.1,-5.16,-4.63,,,,,,,,,,,,,,,,,
,,2470,-4.96,-6.47,-5.87,-7.8,-9.84,-11.21,-11.82,-14.1,-24.16,-14.36,-8.68,-5.53,-4.96,,,,,,,,,,,,,,,,,
,,2480,-5.49,-6.5,-5.55,-7.46,-9.82,-12.07,-12.6,-14.82,-28.72,-15.37,-9.34,-6.11,-5.49,,,,,,,,,,,,,,,,,
,,2490,-5.74,-6.34,-5.34,-7.25,-9.61,-12.33,-14.01,-15.67,-33.45,-16.52,-9.98,-6.6,-5.74,,,,,,,,,,,,,,,,,
,,2500,-5.95,-6.24,-5.25,-6.92,-9.69,-13.3,-15.3,-16.17,-34.9,-17.37,-10.51,-6.99,-5.95,,,,,,,,,,,,,,,,,
,,2510,-6.18,-6.26,-5.28,-7.09,-9.88,-14.05,-16.76,-16.78,-49.71,-18.87,-11.1,-7.24,-6.18,,,,,,,,,,,,,,,,,
